,Unnamed: 0,formation,gk rating,defence rating,midfield rating,attack rating,net stamina,net physicallity,away formation,away gk rating,away defence rating,away midfield rating,away attack rating,away net stamina,away net physicallity,home goals,away goals,home_result_list
1187,1187,4-3-3,243,624,321,367,2294,2258,3-4-3,229,741,296,82,2158,2255,3,0,W
1188,1188,4-1-4-1,135,338,132,122,2089,2021,4-2-3-1,238,515,61,300,2190,2204,0,0,D
1189,1189,4-2-3-1,287,279,272,416,2039,2144,3-4-3,217,462,150,155,2193,2254,2,3,L
1190,1190,4-4-2,371,727,136,419,2071,2255,4-4-2,227,700,171,206,2065,2233,1,0,W
1191,1191,4-2-3-1,227,700,171,206,2065,2233,4-4-2,286,593,70,287,2097,2105,0,2,L
1192,1192,4-2-3-1,219,606,147,172,2290,2191,4-4-1-1,371,727,136,419,2071,2255,5,0,W
1193,1193,3-4-3,217,462,150,155,2193,2254,4-4-1-1,135,338,132,122,2089,2021,0,1,L
1194,1194,4-3-3,231,552,325,239,2270,2261,4-2-3-1,236,538,84,242,2261,2279,0,0,D
1195,1195,4-2-3-1,238,515,61,300,2190,2204,4-2-3-1,221,423,0,292,2188,2264,1,2,L
1196,1196,4-4-2,287,437,134,366,2038,2187,4-4-2,245,562,0,87,2278,2314,2,3,L
1197,1197,3-4-3,229,741,296,82,2158,2255,3-4-3,287,279,272,416,2039,2144,1,2,L
1198,1198,4-2-3-1,219,606,147,172,2290,2191,3-4-1-2,287,279,272,416,2039,2144,2,0,W
1199,1199,4-3-3,231,552,325,239,2270,2261,4-4-1-1,135,338,132,122,2089,2021,3,1,W
1200,1200,4-4-2,371,727,136,419,2071,2255,3-4-3,217,462,150,155,2193,2254,1,1,D
1201,1201,4-3-3,243,624,321,367,2294,2258,4-3-3,221,423,0,292,2188,2264,4,0,W
1202,1202,4-1-4-1,135,338,132,122,2089,2021,4-2-3-1,217,497,123,156,2101,2195,1,2,L
1203,1203,4-3-3,217,462,150,155,2193,2254,4-3-3,231,552,325,239,2270,2261,1,0,W
1204,1204,3-4-3,229,741,296,82,2158,2255,4-2-3-1,213,423,503,224,2212,2206,3,0,W
1205,1205,4-2-3-1,238,515,61,300,2190,2204,4-4-1-1,371,727,136,419,2071,2255,0,1,L
1206,1206,4-4-2,227,700,171,206,2065,2233,4-2-3-1,236,538,84,242,2261,2279,1,1,D
1207,1207,4-4-2,287,437,134,366,2038,2187,3-5-2,193,336,284,314,2025,1969,3,0,W
1208,1208,3-4-3,287,279,272,416,2039,2144,4-3-3,243,624,321,367,2294,2258,1,1,D
1209,1209,4-2-3-1,219,606,147,172,2290,2191,4-1-4-1,265,337,132,193,1892,2003,1,1,D
1210,1210,4-3-3,243,624,321,367,2294,2258,4-4-2,236,538,84,242,2261,2279,2,1,W
1211,1211,4-2-3-1,229,741,296,82,2158,2255,4-3-3,217,462,150,155,2193,2254,0,2,L
1212,1212,3-4-3,238,515,61,300,2190,2204,4-4-2,287,437,134,366,2038,2187,1,1,D
1213,1213,4-1-4-1,135,338,132,122,2089,2021,4-4-2,286,593,70,287,2097,2105,5,2,W
1214,1214,3-4-3,287,279,272,416,2039,2144,3-4-3,213,423,503,224,2212,2206,0,0,D
1215,1215,4-2-3-1,272,282,195,271,1913,2062,4-4-2,371,727,136,419,2071,2255,0,0,D
1216,1216,4-2-3-1,217,462,150,155,2193,2254,3-4-3,238,515,61,300,2190,2204,2,1,W
1217,1217,4-4-2,227,700,171,206,2065,2233,4-3-3,243,624,321,367,2294,2258,0,7,L
1218,1218,4-4-2,287,437,134,366,2038,2187,4-2-3-1,219,606,147,172,2290,2191,0,1,L
1219,1219,4-3-3,231,552,325,239,2270,2261,4-2-3-1,217,497,123,156,2101,2195,3,0,W
1220,1220,4-4-2,371,727,136,419,2071,2255,3-4-1-2,221,423,0,292,2188,2264,2,1,W
1221,1221,4-3-3,219,606,147,172,2290,2191,3-4-3,286,593,70,287,2097,2105,2,0,W
1222,1222,4-2-3-1,229,741,296,82,2158,2255,4-2-3-1,245,562,0,87,2278,2314,2,2,D
1223,1223,4-2-3-1,238,515,61,300,2190,2204,4-3-3,231,552,325,239,2270,2261,3,1,W
1224,1224,4-2-3-1,272,282,195,271,1913,2062,4-4-2,227,700,171,206,2065,2233,3,0,W
1225,1225,3-5-2,287,279,272,416,2039,2144,4-4-2,287,437,134,366,2038,2187,0,0,D
1226,1226,4-3-3,243,624,321,367,2294,2258,4-5-1,265,337,132,193,1892,2003,1,1,D
1227,1227,3-5-1-1,135,338,132,122,2089,2021,4-4-2,371,727,136,419,2071,2255,1,0,W
1228,1228,4-3-3,231,552,325,239,2270,2261,4-2-3-1,272,282,195,271,1913,2062,1,1,D
1229,1229,4-4-2,227,700,171,206,2065,2233,4-2-3-1,229,741,296,82,2158,2255,1,1,D
1230,1230,4-4-2,287,437,134,366,2038,2187,4-5-1,217,497,123,156,2101,2195,0,0,D
1231,1231,4-4-2,371,727,136,419,2071,2255,3-4-3,193,336,284,314,2025,1969,1,0,W
1232,1232,4-2-3-1,217,462,150,155,2193,2254,4-2-3-1,217,497,123,156,2101,2195,0,1,L
1233,1233,4-4-2,227,700,171,206,2065,2233,3-5-2,193,336,284,314,2025,1969,2,0,W
1234,1234,4-3-3,231,552,325,239,2270,2261,4-2-3-1,219,606,147,172,2290,2191,1,3,L
1235,1235,4-4-2,287,437,134,366,2038,2187,4-3-3,243,624,321,367,2294,2258,1,0,W
1236,1236,4-4-2,371,727,136,419,2071,2255,4-2-3-1,245,562,0,87,2278,2314,0,1,L
1237,1237,4-3-3,219,606,147,172,2290,2191,3-4-3,213,423,503,224,2212,2206,1,0,W
1238,1238,4-2-3-1,238,515,61,300,2190,2204,4-4-2,227,700,171,206,2065,2233,0,0,D
1239,1239,4-2-3-1,229,741,296,82,2158,2255,4-4-2,287,437,134,366,2038,2187,2,0,W
1240,1240,4-5-1,135,338,132,122,2089,2021,3-4-3,213,423,503,224,2212,2206,0,1,L
1241,1241,3-5-2,287,279,272,416,2039,2144,4-3-3,231,552,325,239,2270,2261,0,1,L
1242,1242,4-3-3,219,606,147,172,2290,2191,4-1-4-1,227,700,171,206,2065,2233,4,0,W
1243,1243,4-3-3,243,624,321,367,2294,2258,4-2-3-1,245,562,0,87,2278,2314,0,0,D
1244,1244,4-2-3-1,238,515,61,300,2190,2204,4-4-2,286,593,70,287,2097,2105,3,0,W
1245,1245,4-1-4-1,229,741,296,82,2158,2255,4-3-3,231,552,325,239,2270,2261,2,0,W
1246,1246,4-3-3,219,606,147,172,2290,2191,4-2-3-1,272,282,195,271,1913,2062,2,0,W
1247,1247,3-4-3,287,279,272,416,2039,2144,4-2-3-1,245,562,0,87,2278,2314,1,2,L
1248,1248,4-3-3,243,624,321,367,2294,2258,4-4-2,371,727,136,419,2071,2255,0,1,L
1249,1249,4-2-3-1,272,282,195,271,1913,2062,3-5-2,286,593,70,287,2097,2105,2,0,W
1250,1250,4-4-2,227,700,171,206,2065,2233,4-2-3-1,217,497,123,156,2101,2195,2,3,L
1251,1251,4-4-2,287,437,134,366,2038,2187,4-2-3-1,238,515,61,300,2190,2204,1,3,L
1252,1252,4-2-3-1,231,552,325,239,2270,2261,3-4-1-2,221,423,0,292,2188,2264,0,0,D
1253,1253,4-4-2,217,462,150,155,2193,2254,4-2-3-1,229,741,296,82,2158,2255,1,1,D
1254,1254,4-4-2,371,727,136,419,2071,2255,4-2-3-1,272,282,195,271,1913,2062,3,2,W
1255,1255,4-3-3,219,606,147,172,2290,2191,3-5-2,193,336,284,314,2025,1969,1,0,W
1256,1256,4-2-3-1,238,515,61,300,2190,2204,4-2-3-1,245,562,0,87,2278,2314,0,0,D
1257,1257,4-2-3-1,217,462,150,155,2193,2254,4-4-2,286,593,70,287,2097,2105,0,2,L
1258,1258,4-2-3-1,227,700,171,206,2065,2233,3-4-3,221,423,0,292,2188,2264,1,0,W
1259,1259,4-4-2,287,437,134,366,2038,2187,4-2-3-1,272,282,195,271,1913,2062,0,1,L
1260,1260,3-4-3,231,552,325,239,2270,2261,4-4-2,371,727,136,419,2071,2255,2,0,W
1261,1261,4-2-3-1,229,741,296,82,2158,2255,4-1-4-1,135,338,132,122,2089,2021,1,3,L
1262,1262,4-3-3,243,624,321,367,2294,2258,3-4-3,213,423,503,224,2212,2206,0,1,L
1263,1263,4-1-4-1,135,338,132,122,2089,2021,4-2-3-1,217,462,150,155,2193,2254,1,2,L
1264,1264,4-2-3-1,272,282,195,271,1913,2062,4-2-3-1,217,497,123,156,2101,2195,1,3,L
1265,1265,4-4-2,371,727,136,419,2071,2255,4-3-3,219,606,147,172,2290,2191,0,2,L
1266,1266,3-4-3,287,279,272,416,2039,2144,4-2-3-1,229,741,296,82,2158,2255,0,2,L
1267,1267,4-2-3-1,272,282,195,271,1913,2062,4-2-3-1,238,515,61,300,2190,2204,1,0,W
1268,1268,4-4-2,371,727,136,419,2071,2255,3-4-1-2,213,423,503,224,2212,2206,1,1,D
1269,1269,4-2-3-1,287,279,272,416,2039,2144,4-2-3-1,217,497,123,156,2101,2195,0,0,D
1270,1270,4-3-3,243,624,321,367,2294,2258,4-3-3,219,606,147,172,2290,2191,1,4,L
